# Created by Octave 5.2.0, Mon Mar 23 18:15:39 2020 GMT <unknown@LTP-REG-DAMPUERO>
# name: D
# type: matrix
# rows: 100
# columns: 3
 3334 4166 4
 3516 2702 4
 3543 4996 2
 5784 2789 3
 4258 2997 2
 4753 4651 2
 8883 4381 2
 5007 2173 2
 5466 2656 5
 4960 2609 5
 7486 3392 1
 3263 2003 3
 7261 4310 3
 7317 2249 2
 4537 2114 1
 6980 3758 2
 8362 3311 5
 4308 4373 3
 3935 2837 5
 6768 3097 2
 5776 2797 3
 7785 3698 4
 3414 2511 2
 7272 2213 2
 4006 4366 3
 3916 3892 1
 4828 4860 3
 8888 3467 3
 7984 3723 5
 6008 3282 1
 4564 2093 1
 8792 4079 1
 5057 3999 5
 5051 3281 4
 6753 4656 2
 4733 2617 2
 8020 2901 5
 4017 4801 1
 4096 3541 4
 3785 2533 2
 4740 3323 3
 4172 3715 1
 3774 2577 4
 5155 3868 4
 5300 4803 3
 4075 2963 1
 7391 4642 1
 6526 4736 1
 7619 4321 2
 4906 4907 5
 5675 4518 5
 8035 3758 3
 7733 4585 4
 4249 2052 4
 5949 2579 4
 4441 3349 5
 5502 2356 5
 3478 4337 5
 3694 2814 2
 6855 4017 5
 4935 3221 4
 6211 4246 5
 5459 3388 5
 3352 3364 3
 5690 3805 1
 6291 2938 5
 3927 3283 2
 6367 2380 1
 6199 2848 2
 7453 2637 4
 3552 1904 4
 5406 2400 1
 6820 2405 3
 6182 2856 5
 7070 2859 5
 4829 3548 1
 4169 4303 3
 8003 4910 2
 6715 3916 4
 3444 4172 1
 8324 4857 2
 7362 4148 2
 3536 4868 4
 5438 3894 3
 8593 4379 1
 7333 3014 5
 3047 4617 5
 5249 4802 1
 4344 4733 2
 7831 2973 5
 4876 3957 4
 7343 4386 2
 5753 4628 4
 7385 4940 1
 5646 3531 1
 8498 2413 4
 8977 3720 5
 8499 4823 1
 8345 4477 5
 7213 1924 2


