4166	4
2702	4
4996	2
2789	3
2997	2
4651	2
4381	2
2173	2
2656	5
2609	5
3392	1
2003	3
4310	3
2249	2
2114	1
3758	2
3311	5
4373	3
2837	5
3097	2
2797	3
3698	4
2511	2
2213	2
4366	3
3892	1
4860	3
3467	3
3723	5
3282	1
2093	1
4079	1
3999	5
3281	4
4656	2
2617	2
2901	5
4801	1
3541	4
2533	2
3323	3
3715	1
2577	4
3868	4
4803	3
2963	1
4642	1
4736	1
4321	2
4907	5
4518	5
3758	3
4585	4
2052	4
2579	4
3349	5
2356	5
4337	5
2814	2
4017	5
3221	4
4246	5
3388	5
3364	3
3805	1
2938	5
3283	2
2380	1
2848	2
2637	4
1904	4
2400	1
2405	3
2856	5
2859	5
3548	1
4303	3
4910	2
3916	4
4172	1
4857	2
4148	2
4868	4
3894	3
4379	1
3014	5
4617	5
4802	1
4733	2
2973	5
3957	4
4386	2
4628	4
4940	1
3531	1
2413	4
3720	5
4823	1
4477	5
1924	2
